SKU,Original_Lines,Aggregated_Lines,Original_Total_Qty,Aggregated_Qty,Original_Total_Value,Aggregated_Value,Unit_Price_Recalc,Description
224-00007-002,10,1,300.0,300.0,3337.1,3337.1,11.123666666666667,CPX2B BACK-LIT FLAT PANEL WELDED FRAME 2X4 WHITE-P...
*233C8U,7,1,175.0,175.0,2337.79,2337.79,13.3588,NPP20 PL BP-PROGRAMMABLE RELAY PACK...
*250AB3,7,1,1008.0,1008.0,7979.65,7979.650000000001,7.916319444444445,"IC22 W-NON-LED CEILING/WALL LIGHT FIXTURE, NON-HOU..."
*279PWK,7,1,280.0,280.0,31585.609999999997,31585.609999999997,112.80574999999999,IBG 12000LM HEF AFL GND 277 GZ10 50K 80CRI OCS10 L...
*256S3T,6,1,9.0,9.0,999.81,999.81,111.08999999999999,EVT4 8000LM FST MD MVOLT GZ10 40K 80CRI-LED CEILIN...
*2583KF,6,1,125.0,125.0,4264.5,4264.5,34.116,RPP20 D 24V ER EFP G2-PROGRAMMABLE CONTROLLERS...
*265LYP,5,1,125.0,125.0,2160.95,2160.95,17.287599999999998,NPP16 EFP-PROGRAMMABLE CONTROLLERS...
*295PS5,5,1,9.0,9.0,826.3799999999999,826.3799999999999,91.82,WHSPR LCTR 2X2 80CRI 35K 4500LM MIN10 MVOLT SWC ZT...
*2592TS,4,1,200.0,200.0,2810.48,2810.48,14.0524,NPODMA DX WH-ELECTRONIC SENSOR SWITCH...
*26190P,4,1,200.0,200.0,2864.24,2864.24,14.3212,NPODMA RD-ELECTRONIC SENSOR SWITCH...
